[2024-05-12T18:01:38.919+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2024-05-12T18:01:38.933+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: web_article_scraping.dvc_add_and_push manual__2024-05-12T18:01:15.254381+00:00 [queued]>
[2024-05-12T18:01:38.938+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: web_article_scraping.dvc_add_and_push manual__2024-05-12T18:01:15.254381+00:00 [queued]>
[2024-05-12T18:01:38.938+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 1
[2024-05-12T18:01:38.946+0000] {taskinstance.py:2330} INFO - Executing <Task(BashOperator): dvc_add_and_push> on 2024-05-12 18:01:15.254381+00:00
[2024-05-12T18:01:38.951+0000] {warnings.py:110} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:61: DeprecationWarning: This process (pid=189) is multi-threaded, use of fork() may lead to deadlocks in the child.
  pid = os.fork()

[2024-05-12T18:01:38.952+0000] {standard_task_runner.py:63} INFO - Started process 191 to run task
[2024-05-12T18:01:38.952+0000] {standard_task_runner.py:90} INFO - Running: ['***', 'tasks', 'run', 'web_article_scraping', 'dvc_add_and_push', 'manual__2024-05-12T18:01:15.254381+00:00', '--job-id', '34', '--raw', '--subdir', 'DAGS_FOLDER/dag.py', '--cfg-path', '/tmp/tmpp7tnqpv7']
[2024-05-12T18:01:38.953+0000] {standard_task_runner.py:91} INFO - Job 34: Subtask dvc_add_and_push
[2024-05-12T18:01:38.982+0000] {task_command.py:426} INFO - Running <TaskInstance: web_article_scraping.dvc_add_and_push manual__2024-05-12T18:01:15.254381+00:00 [running]> on host 4d491b913ee9
[2024-05-12T18:01:40.082+0000] {subprocess.py:93} INFO - Requirement already satisfied: distro>=1.3 in /home/***/.local/lib/python3.12/site-packages (from dvc) (1.9.0)
[2024-05-12T18:01:40.083+0000] {subprocess.py:93} INFO - Requirement already satisfied: dpath<3,>=2.1.0 in /home/***/.local/lib/python3.12/site-packages (from dvc) (2.1.6)
[2024-05-12T18:01:40.084+0000] {subprocess.py:93} INFO - Requirement already satisfied: dulwich in /home/***/.local/lib/python3.12/site-packages (from dvc) (0.22.1)
[2024-05-12T18:01:40.085+0000] {subprocess.py:93} INFO - Requirement already satisfied: dvc-data<3.16,>=3.15 in /home/***/.local/lib/python3.12/site-packages (from dvc) (3.15.1)
[2024-05-12T18:01:40.086+0000] {subprocess.py:93} INFO - Requirement already satisfied: dvc-http>=2.29.0 in /home/***/.local/lib/python3.12/site-packages (from dvc) (2.32.0)
[2024-05-12T18:01:40.087+0000] {subprocess.py:93} INFO - Requirement already satisfied: dvc-objects in /home/***/.local/lib/python3.12/site-packages (from dvc) (5.1.0)
[2024-05-12T18:01:40.088+0000] {subprocess.py:93} INFO - Requirement already satisfied: dvc-render<2,>=1.0.1 in /home/***/.local/lib/python3.12/site-packages (from dvc) (1.0.2)
[2024-05-12T18:01:40.089+0000] {subprocess.py:93} INFO - Requirement already satisfied: dvc-studio-client<1,>=0.20 in /home/***/.local/lib/python3.12/site-packages (from dvc) (0.20.0)
[2024-05-12T18:01:40.090+0000] {subprocess.py:93} INFO - Requirement already satisfied: dvc-task<1,>=0.3.0 in /home/***/.local/lib/python3.12/site-packages (from dvc) (0.4.0)
[2024-05-12T18:01:40.092+0000] {subprocess.py:93} INFO - Requirement already satisfied: flatten-dict<1,>=0.4.1 in /home/***/.local/lib/python3.12/site-packages (from dvc) (0.4.2)
[2024-05-12T18:01:40.093+0000] {subprocess.py:93} INFO - Requirement already satisfied: flufl.lock<8,>=5 in /home/***/.local/lib/python3.12/site-packages (from dvc) (7.1.1)
[2024-05-12T18:01:40.094+0000] {subprocess.py:93} INFO - Requirement already satisfied: fsspec in /home/***/.local/lib/python3.12/site-packages (from dvc) (2024.3.1)
[2024-05-12T18:01:40.095+0000] {subprocess.py:93} INFO - Requirement already satisfied: funcy>=1.14 in /home/***/.local/lib/python3.12/site-packages (from dvc) (2.0)
[2024-05-12T18:01:40.096+0000] {subprocess.py:93} INFO - Requirement already satisfied: grandalf<1,>=0.7 in /home/***/.local/lib/python3.12/site-packages (from dvc) (0.8)
[2024-05-12T18:01:40.097+0000] {subprocess.py:93} INFO - Requirement already satisfied: gto<2,>=1.6.0 in /home/***/.local/lib/python3.12/site-packages (from dvc) (1.7.1)
[2024-05-12T18:01:40.098+0000] {subprocess.py:93} INFO - Requirement already satisfied: hydra-core>=1.1 in /home/***/.local/lib/python3.12/site-packages (from dvc) (1.3.2)
[2024-05-12T18:01:40.099+0000] {subprocess.py:93} INFO - Requirement already satisfied: iterative-telemetry>=0.0.7 in /home/***/.local/lib/python3.12/site-packages (from dvc) (0.0.8)
[2024-05-12T18:01:40.100+0000] {subprocess.py:93} INFO - Requirement already satisfied: kombu in /home/***/.local/lib/python3.12/site-packages (from dvc) (5.3.7)
[2024-05-12T18:01:40.101+0000] {subprocess.py:93} INFO - Requirement already satisfied: networkx>=2.5 in /home/***/.local/lib/python3.12/site-packages (from dvc) (3.3)
[2024-05-12T18:01:40.102+0000] {subprocess.py:93} INFO - Requirement already satisfied: omegaconf in /home/***/.local/lib/python3.12/site-packages (from dvc) (2.3.0)
[2024-05-12T18:01:40.103+0000] {subprocess.py:93} INFO - Requirement already satisfied: packaging>=19 in /home/***/.local/lib/python3.12/site-packages (from dvc) (24.0)
[2024-05-12T18:01:40.104+0000] {subprocess.py:93} INFO - Requirement already satisfied: pathspec>=0.10.3 in /home/***/.local/lib/python3.12/site-packages (from dvc) (0.12.1)
[2024-05-12T18:01:40.105+0000] {subprocess.py:93} INFO - Requirement already satisfied: platformdirs<4,>=3.1.1 in /home/***/.local/lib/python3.12/site-packages (from dvc) (3.11.0)
[2024-05-12T18:01:40.107+0000] {subprocess.py:93} INFO - Requirement already satisfied: psutil>=5.8 in /home/***/.local/lib/python3.12/site-packages (from dvc) (5.9.8)
[2024-05-12T18:01:40.108+0000] {subprocess.py:93} INFO - Requirement already satisfied: pydot>=1.2.4 in /home/***/.local/lib/python3.12/site-packages (from dvc) (2.0.0)
[2024-05-12T18:01:40.109+0000] {subprocess.py:93} INFO - Requirement already satisfied: pygtrie>=2.3.2 in /home/***/.local/lib/python3.12/site-packages (from dvc) (2.5.0)
[2024-05-12T18:01:40.110+0000] {subprocess.py:93} INFO - Requirement already satisfied: pyparsing>=2.4.7 in /home/***/.local/lib/python3.12/site-packages (from dvc) (3.1.2)
[2024-05-12T18:01:40.111+0000] {subprocess.py:93} INFO - Requirement already satisfied: requests>=2.22 in /home/***/.local/lib/python3.12/site-packages (from dvc) (2.31.0)
[2024-05-12T18:01:40.113+0000] {subprocess.py:93} INFO - Requirement already satisfied: rich>=12 in /home/***/.local/lib/python3.12/site-packages (from dvc) (13.7.1)
[2024-05-12T18:01:40.114+0000] {subprocess.py:93} INFO - Requirement already satisfied: ruamel.yaml>=0.17.11 in /home/***/.local/lib/python3.12/site-packages (from dvc) (0.18.6)
[2024-05-12T18:01:40.115+0000] {subprocess.py:93} INFO - Requirement already satisfied: scmrepo<4,>=3.3.2 in /home/***/.local/lib/python3.12/site-packages (from dvc) (3.3.2)
[2024-05-12T18:01:40.117+0000] {subprocess.py:93} INFO - Requirement already satisfied: shortuuid>=0.5 in /home/***/.local/lib/python3.12/site-packages (from dvc) (1.0.13)
[2024-05-12T18:01:40.118+0000] {subprocess.py:93} INFO - Requirement already satisfied: shtab<2,>=1.3.4 in /home/***/.local/lib/python3.12/site-packages (from dvc) (1.7.1)
[2024-05-12T18:01:40.120+0000] {subprocess.py:93} INFO - Requirement already satisfied: tabulate>=0.8.7 in /home/***/.local/lib/python3.12/site-packages (from dvc) (0.9.0)
[2024-05-12T18:01:40.121+0000] {subprocess.py:93} INFO - Requirement already satisfied: tomlkit>=0.11.1 in /home/***/.local/lib/python3.12/site-packages (from dvc) (0.12.4)
[2024-05-12T18:01:40.124+0000] {subprocess.py:93} INFO - Requirement already satisfied: tqdm<5,>=4.63.1 in /home/***/.local/lib/python3.12/site-packages (from dvc) (4.66.4)
[2024-05-12T18:01:40.125+0000] {subprocess.py:93} INFO - Requirement already satisfied: voluptuous>=0.11.7 in /home/***/.local/lib/python3.12/site-packages (from dvc) (0.14.2)
[2024-05-12T18:01:40.127+0000] {subprocess.py:93} INFO - Requirement already satisfied: zc.lockfile>=1.2.1 in /home/***/.local/lib/python3.12/site-packages (from dvc) (3.0.post1)
[2024-05-12T18:01:40.145+0000] {subprocess.py:93} INFO - Requirement already satisfied: six in /home/***/.local/lib/python3.12/site-packages (from configobj>=5.0.6->dvc) (1.16.0)
[2024-05-12T18:01:40.162+0000] {subprocess.py:93} INFO - Requirement already satisfied: dictdiffer>=0.8.1 in /home/***/.local/lib/python3.12/site-packages (from dvc-data<3.16,>=3.15->dvc) (0.9.0)
[2024-05-12T18:01:40.165+0000] {subprocess.py:93} INFO - Requirement already satisfied: diskcache>=5.2.1 in /home/***/.local/lib/python3.12/site-packages (from dvc-data<3.16,>=3.15->dvc) (5.6.3)
[2024-05-12T18:01:40.166+0000] {subprocess.py:93} INFO - Requirement already satisfied: sqltrie<1,>=0.11.0 in /home/***/.local/lib/python3.12/site-packages (from dvc-data<3.16,>=3.15->dvc) (0.11.0)
[2024-05-12T18:01:40.177+0000] {subprocess.py:93} INFO - Requirement already satisfied: aiohttp-retry>=2.5.0 in /home/***/.local/lib/python3.12/site-packages (from dvc-http>=2.29.0->dvc) (2.8.3)
[2024-05-12T18:01:40.260+0000] {subprocess.py:93} INFO - Requirement already satisfied: billiard<5.0,>=4.2.0 in /home/***/.local/lib/python3.12/site-packages (from celery->dvc) (4.2.0)
[2024-05-12T18:01:40.262+0000] {subprocess.py:93} INFO - Requirement already satisfied: vine<6.0,>=5.1.0 in /home/***/.local/lib/python3.12/site-packages (from celery->dvc) (5.1.0)
[2024-05-12T18:01:40.263+0000] {subprocess.py:93} INFO - Requirement already satisfied: click<9.0,>=8.1.2 in /home/***/.local/lib/python3.12/site-packages (from celery->dvc) (8.1.7)
[2024-05-12T18:01:40.263+0000] {subprocess.py:93} INFO - Requirement already satisfied: click-didyoumean>=0.3.0 in /home/***/.local/lib/python3.12/site-packages (from celery->dvc) (0.3.1)
[2024-05-12T18:01:40.264+0000] {subprocess.py:93} INFO - Requirement already satisfied: click-repl>=0.2.0 in /home/***/.local/lib/python3.12/site-packages (from celery->dvc) (0.3.0)
[2024-05-12T18:01:40.265+0000] {subprocess.py:93} INFO - Requirement already satisfied: click-plugins>=1.1.1 in /home/***/.local/lib/python3.12/site-packages (from celery->dvc) (1.1.1)
[2024-05-12T18:01:40.266+0000] {subprocess.py:93} INFO - Requirement already satisfied: tzdata>=2022.7 in /home/***/.local/lib/python3.12/site-packages (from celery->dvc) (2024.1)
[2024-05-12T18:01:40.267+0000] {subprocess.py:93} INFO - Requirement already satisfied: python-dateutil>=2.8.2 in /home/***/.local/lib/python3.12/site-packages (from celery->dvc) (2.9.0.post0)
[2024-05-12T18:01:40.276+0000] {subprocess.py:93} INFO - Requirement already satisfied: atpublic>=2.3 in /home/***/.local/lib/python3.12/site-packages (from flufl.lock<8,>=5->dvc) (4.1.0)
[2024-05-12T18:01:40.325+0000] {subprocess.py:93} INFO - Requirement already satisfied: typer>=0.4.1 in /home/***/.local/lib/python3.12/site-packages (from gto<2,>=1.6.0->dvc) (0.12.3)
[2024-05-12T18:01:40.330+0000] {subprocess.py:93} INFO - Requirement already satisfied: pydantic!=2.0.0,<3,>=1.9.0 in /home/***/.local/lib/python3.12/site-packages (from gto<2,>=1.6.0->dvc) (2.7.1)
[2024-05-12T18:01:40.331+0000] {subprocess.py:93} INFO - Requirement already satisfied: semver>=2.13.0 in /home/***/.local/lib/python3.12/site-packages (from gto<2,>=1.6.0->dvc) (3.0.2)
[2024-05-12T18:01:40.332+0000] {subprocess.py:93} INFO - Requirement already satisfied: entrypoints in /home/***/.local/lib/python3.12/site-packages (from gto<2,>=1.6.0->dvc) (0.4)
[2024-05-12T18:01:40.339+0000] {subprocess.py:93} INFO - Requirement already satisfied: antlr4-python3-runtime==4.9.* in /home/***/.local/lib/python3.12/site-packages (from hydra-core>=1.1->dvc) (4.9.3)
[2024-05-12T18:01:40.353+0000] {subprocess.py:93} INFO - Requirement already satisfied: appdirs in /home/***/.local/lib/python3.12/site-packages (from iterative-telemetry>=0.0.7->dvc) (1.4.4)
[2024-05-12T18:01:40.354+0000] {subprocess.py:93} INFO - Requirement already satisfied: filelock in /home/***/.local/lib/python3.12/site-packages (from iterative-telemetry>=0.0.7->dvc) (3.14.0)
[2024-05-12T18:01:40.371+0000] {subprocess.py:93} INFO - Requirement already satisfied: amqp<6.0.0,>=5.1.1 in /home/***/.local/lib/python3.12/site-packages (from kombu->dvc) (5.2.0)
[2024-05-12T18:01:40.391+0000] {subprocess.py:93} INFO - Requirement already satisfied: PyYAML>=5.1.0 in /home/***/.local/lib/python3.12/site-packages (from omegaconf->dvc) (6.0.1)
[2024-05-12T18:01:40.438+0000] {subprocess.py:93} INFO - Requirement already satisfied: charset-normalizer<4,>=2 in /home/***/.local/lib/python3.12/site-packages (from requests>=2.22->dvc) (3.3.2)
[2024-05-12T18:01:40.439+0000] {subprocess.py:93} INFO - Requirement already satisfied: idna<4,>=2.5 in /home/***/.local/lib/python3.12/site-packages (from requests>=2.22->dvc) (3.7)
[2024-05-12T18:01:40.440+0000] {subprocess.py:93} INFO - Requirement already satisfied: urllib3<3,>=1.21.1 in /home/***/.local/lib/python3.12/site-packages (from requests>=2.22->dvc) (2.2.1)
[2024-05-12T18:01:40.441+0000] {subprocess.py:93} INFO - Requirement already satisfied: certifi>=2017.4.17 in /home/***/.local/lib/python3.12/site-packages (from requests>=2.22->dvc) (2024.2.2)
[2024-05-12T18:01:40.448+0000] {subprocess.py:93} INFO - Requirement already satisfied: markdown-it-py>=2.2.0 in /home/***/.local/lib/python3.12/site-packages (from rich>=12->dvc) (3.0.0)
[2024-05-12T18:01:40.449+0000] {subprocess.py:93} INFO - Requirement already satisfied: pygments<3.0.0,>=2.13.0 in /home/***/.local/lib/python3.12/site-packages (from rich>=12->dvc) (2.17.2)
[2024-05-12T18:01:40.457+0000] {subprocess.py:93} INFO - Requirement already satisfied: ruamel.yaml.clib>=0.2.7 in /home/***/.local/lib/python3.12/site-packages (from ruamel.yaml>=0.17.11->dvc) (0.2.8)
[2024-05-12T18:01:40.481+0000] {subprocess.py:93} INFO - Requirement already satisfied: gitpython>3 in /home/***/.local/lib/python3.12/site-packages (from scmrepo<4,>=3.3.2->dvc) (3.1.43)
[2024-05-12T18:01:40.482+0000] {subprocess.py:93} INFO - Requirement already satisfied: pygit2>=1.14.0 in /home/***/.local/lib/python3.12/site-packages (from scmrepo<4,>=3.3.2->dvc) (1.14.1)
[2024-05-12T18:01:40.486+0000] {subprocess.py:93} INFO - Requirement already satisfied: asyncssh<3,>=2.13.1 in /home/***/.local/lib/python3.12/site-packages (from scmrepo<4,>=3.3.2->dvc) (2.14.2)
[2024-05-12T18:01:40.498+0000] {subprocess.py:93} INFO - Requirement already satisfied: setuptools in /home/***/.local/lib/python3.12/site-packages (from dulwich->dvc) (66.1.1)
[2024-05-12T18:01:40.546+0000] {subprocess.py:93} INFO - Requirement already satisfied: aiohttp in /home/***/.local/lib/python3.12/site-packages (from aiohttp-retry>=2.5.0->dvc-http>=2.29.0->dvc) (3.9.5)
[2024-05-12T18:01:40.565+0000] {subprocess.py:93} INFO - Requirement already satisfied: cryptography>=39.0 in /home/***/.local/lib/python3.12/site-packages (from asyncssh<3,>=2.13.1->scmrepo<4,>=3.3.2->dvc) (41.0.7)
[2024-05-12T18:01:40.566+0000] {subprocess.py:93} INFO - Requirement already satisfied: typing-extensions>=3.6 in /home/***/.local/lib/python3.12/site-packages (from asyncssh<3,>=2.13.1->scmrepo<4,>=3.3.2->dvc) (4.11.0)
[2024-05-12T18:01:40.608+0000] {subprocess.py:93} INFO - Requirement already satisfied: prompt-toolkit>=3.0.36 in /home/***/.local/lib/python3.12/site-packages (from click-repl>=0.2.0->celery->dvc) (3.0.43)
[2024-05-12T18:01:40.692+0000] {subprocess.py:93} INFO - Requirement already satisfied: gitdb<5,>=4.0.1 in /home/***/.local/lib/python3.12/site-packages (from gitpython>3->scmrepo<4,>=3.3.2->dvc) (4.0.11)
[2024-05-12T18:01:40.721+0000] {subprocess.py:93} INFO - Requirement already satisfied: mdurl~=0.1 in /home/***/.local/lib/python3.12/site-packages (from markdown-it-py>=2.2.0->rich>=12->dvc) (0.1.2)
[2024-05-12T18:01:40.734+0000] {subprocess.py:93} INFO - Requirement already satisfied: annotated-types>=0.4.0 in /home/***/.local/lib/python3.12/site-packages (from pydantic!=2.0.0,<3,>=1.9.0->gto<2,>=1.6.0->dvc) (0.6.0)
[2024-05-12T18:01:40.736+0000] {subprocess.py:93} INFO - Requirement already satisfied: pydantic-core==2.18.2 in /home/***/.local/lib/python3.12/site-packages (from pydantic!=2.0.0,<3,>=1.9.0->gto<2,>=1.6.0->dvc) (2.18.2)
[2024-05-12T18:01:40.751+0000] {subprocess.py:93} INFO - Requirement already satisfied: cffi>=1.16.0 in /home/***/.local/lib/python3.12/site-packages (from pygit2>=1.14.0->scmrepo<4,>=3.3.2->dvc) (1.16.0)
[2024-05-12T18:01:40.795+0000] {subprocess.py:93} INFO - Requirement already satisfied: orjson in /home/***/.local/lib/python3.12/site-packages (from sqltrie<1,>=0.11.0->dvc-data<3.16,>=3.15->dvc) (3.10.3)
[2024-05-12T18:01:40.805+0000] {subprocess.py:93} INFO - Requirement already satisfied: shellingham>=1.3.0 in /home/***/.local/lib/python3.12/site-packages (from typer>=0.4.1->gto<2,>=1.6.0->dvc) (1.5.4)
[2024-05-12T18:01:40.919+0000] {subprocess.py:93} INFO - Requirement already satisfied: aiosignal>=1.1.2 in /home/***/.local/lib/python3.12/site-packages (from aiohttp->aiohttp-retry>=2.5.0->dvc-http>=2.29.0->dvc) (1.3.1)
[2024-05-12T18:01:40.921+0000] {subprocess.py:93} INFO - Requirement already satisfied: frozenlist>=1.1.1 in /home/***/.local/lib/python3.12/site-packages (from aiohttp->aiohttp-retry>=2.5.0->dvc-http>=2.29.0->dvc) (1.4.1)
[2024-05-12T18:01:40.922+0000] {subprocess.py:93} INFO - Requirement already satisfied: multidict<7.0,>=4.5 in /home/***/.local/lib/python3.12/site-packages (from aiohttp->aiohttp-retry>=2.5.0->dvc-http>=2.29.0->dvc) (6.0.5)
[2024-05-12T18:01:40.924+0000] {subprocess.py:93} INFO - Requirement already satisfied: yarl<2.0,>=1.0 in /home/***/.local/lib/python3.12/site-packages (from aiohttp->aiohttp-retry>=2.5.0->dvc-http>=2.29.0->dvc) (1.9.4)
[2024-05-12T18:01:40.937+0000] {subprocess.py:93} INFO - Requirement already satisfied: pycparser in /home/***/.local/lib/python3.12/site-packages (from cffi>=1.16.0->pygit2>=1.14.0->scmrepo<4,>=3.3.2->dvc) (2.22)
[2024-05-12T18:01:40.967+0000] {subprocess.py:93} INFO - Requirement already satisfied: smmap<6,>=3.0.1 in /home/***/.local/lib/python3.12/site-packages (from gitdb<5,>=4.0.1->gitpython>3->scmrepo<4,>=3.3.2->dvc) (5.0.1)
[2024-05-12T18:01:40.981+0000] {subprocess.py:93} INFO - Requirement already satisfied: wcwidth in /home/***/.local/lib/python3.12/site-packages (from prompt-toolkit>=3.0.36->click-repl>=0.2.0->celery->dvc) (0.2.13)
[2024-05-12T18:01:44.292+0000] {subprocess.py:93} INFO - Requirement already satisfied: dvc-gdrive in /home/***/.local/lib/python3.12/site-packages (3.0.1)
[2024-05-12T18:01:44.308+0000] {subprocess.py:93} INFO - Requirement already satisfied: dvc in /home/***/.local/lib/python3.12/site-packages (from dvc-gdrive) (3.50.1)
[2024-05-12T18:01:44.310+0000] {subprocess.py:93} INFO - Requirement already satisfied: pydrive2>=1.19.0 in /home/***/.local/lib/python3.12/site-packages (from pydrive2[fsspec]>=1.19.0->dvc-gdrive) (1.19.0)
[2024-05-12T18:01:44.331+0000] {subprocess.py:93} INFO - Requirement already satisfied: google-api-python-client>=1.12.5 in /home/***/.local/lib/python3.12/site-packages (from pydrive2>=1.19.0->pydrive2[fsspec]>=1.19.0->dvc-gdrive) (2.127.0)
[2024-05-12T18:01:44.332+0000] {subprocess.py:93} INFO - Requirement already satisfied: oauth2client>=4.0.0 in /home/***/.local/lib/python3.12/site-packages (from pydrive2>=1.19.0->pydrive2[fsspec]>=1.19.0->dvc-gdrive) (4.1.3)
[2024-05-12T18:01:44.333+0000] {subprocess.py:93} INFO - Requirement already satisfied: PyYAML>=3.0 in /home/***/.local/lib/python3.12/site-packages (from pydrive2>=1.19.0->pydrive2[fsspec]>=1.19.0->dvc-gdrive) (6.0.1)
[2024-05-12T18:01:44.334+0000] {subprocess.py:93} INFO - Requirement already satisfied: pyOpenSSL>=19.1.0 in /home/***/.local/lib/python3.12/site-packages (from pydrive2>=1.19.0->pydrive2[fsspec]>=1.19.0->dvc-gdrive) (24.1.0)
[2024-05-12T18:01:44.349+0000] {subprocess.py:93} INFO - Requirement already satisfied: fsspec>=2021.07.0 in /home/***/.local/lib/python3.12/site-packages (from pydrive2[fsspec]>=1.19.0->dvc-gdrive) (2024.3.1)
[2024-05-12T18:01:44.352+0000] {subprocess.py:93} INFO - Requirement already satisfied: tqdm>=4.0.0 in /home/***/.local/lib/python3.12/site-packages (from pydrive2[fsspec]>=1.19.0->dvc-gdrive) (4.66.4)
[2024-05-12T18:01:44.353+0000] {subprocess.py:93} INFO - Requirement already satisfied: funcy>=1.14 in /home/***/.local/lib/python3.12/site-packages (from pydrive2[fsspec]>=1.19.0->dvc-gdrive) (2.0)
[2024-05-12T18:01:44.355+0000] {subprocess.py:93} INFO - Requirement already satisfied: appdirs>=1.4.3 in /home/***/.local/lib/python3.12/site-packages (from pydrive2[fsspec]>=1.19.0->dvc-gdrive) (1.4.4)
[2024-05-12T18:01:44.402+0000] {subprocess.py:93} INFO - Requirement already satisfied: attrs>=22.2.0 in /home/***/.local/lib/python3.12/site-packages (from dvc->dvc-gdrive) (23.2.0)
[2024-05-12T18:01:44.404+0000] {subprocess.py:93} INFO - Requirement already satisfied: celery in /home/***/.local/lib/python3.12/site-packages (from dvc->dvc-gdrive) (5.4.0)
[2024-05-12T18:01:44.405+0000] {subprocess.py:93} INFO - Requirement already satisfied: colorama>=0.3.9 in /home/***/.local/lib/python3.12/site-packages (from dvc->dvc-gdrive) (0.4.6)
[2024-05-12T18:01:44.406+0000] {subprocess.py:93} INFO - Requirement already satisfied: configobj>=5.0.6 in /home/***/.local/lib/python3.12/site-packages (from dvc->dvc-gdrive) (5.0.8)
[2024-05-12T18:01:44.407+0000] {subprocess.py:93} INFO - Requirement already satisfied: distro>=1.3 in /home/***/.local/lib/python3.12/site-packages (from dvc->dvc-gdrive) (1.9.0)
[2024-05-12T18:01:44.408+0000] {subprocess.py:93} INFO - Requirement already satisfied: dpath<3,>=2.1.0 in /home/***/.local/lib/python3.12/site-packages (from dvc->dvc-gdrive) (2.1.6)
[2024-05-12T18:01:44.409+0000] {subprocess.py:93} INFO - Requirement already satisfied: dulwich in /home/***/.local/lib/python3.12/site-packages (from dvc->dvc-gdrive) (0.22.1)
[2024-05-12T18:01:44.410+0000] {subprocess.py:93} INFO - Requirement already satisfied: dvc-data<3.16,>=3.15 in /home/***/.local/lib/python3.12/site-packages (from dvc->dvc-gdrive) (3.15.1)
[2024-05-12T18:01:44.411+0000] {subprocess.py:93} INFO - Requirement already satisfied: dvc-http>=2.29.0 in /home/***/.local/lib/python3.12/site-packages (from dvc->dvc-gdrive) (2.32.0)
[2024-05-12T18:01:44.411+0000] {subprocess.py:93} INFO - Requirement already satisfied: dvc-objects in /home/***/.local/lib/python3.12/site-packages (from dvc->dvc-gdrive) (5.1.0)
